buy_month	sell_month	pints_purchased	expected_profit
2025-07	2025-12	264042	132963.47
2025-06	2025-12	264012	132835.3
2025-08	2025-12	249759	71680.23
2025-07	2025-11	271202	64426.61
2025-06	2025-11	271171	64302.93
2025-09	2025-12	237092	17329.14
2025-05	2025-12	234831	7624.18
2025-08	2025-11	256157	5375.75
2025-07	2025-10	278763	-11159.61
2025-06	2025-10	278729	-11277.71
2025-10	2025-12	230341	-11640.58
2025-07	2025-09	286756	-40517.65
2025-06	2025-09	286721	-40635.52
2025-09	2025-11	242850	-46850.92
2025-05	2025-11	240478	-56162.28
2025-08	2025-10	262891	-67459.36
2025-10	2025-11	235772	-74632.96
2025-11	2025-12	214549	-79400.95
2025-07	2025-08	295222	-95596.66
2025-04	2025-12	210754	-95685.14
2025-06	2025-08	295185	-95711.05
2025-08	2025-09	269989	-96620.79
2025-09	2025-10	248895	-117108.15
2025-05	2025-10	246403	-125945.69
2025-05	2025-09	252628	-154709.54
2025-06	2025-07	304163	-154866.74
2025-04	2025-11	215291	-155015.09
2025-03	2025-12	190772	-181422.94
2025-05	2025-08	259176	-206023.06
2025-04	2025-10	220028	-219503.97
2025-01	2025-02	188899	-228464.16
2025-02	2025-03	206689	-229534.85
2025-03	2025-11	194483	-236685.89
2025-03	2025-04	225132	-241220.7
2025-04	2025-09	224979	-247224.55
2025-02	2025-12	174271	-252229.18
2025-04	2025-05	247227	-252744.83
2025-05	2025-07	266072	-260705.58
2025-05	2025-06	273345	-264992.98
2025-04	2025-08	230157	-294921.97
2025-03	2025-10	198340	-296437.93
2025-02	2025-11	177362	-303882.98
2025-01	2025-03	185397	-308902.07
2025-02	2025-04	202503	-317487.34
2025-01	2025-12	158886	-318243.58
2025-03	2025-09	202354	-322927.57
2025-03	2025-05	220175	-334510.99
2025-04	2025-07	235579	-345431.91
2025-04	2025-06	241262	-351260.23
2025-02	2025-10	180564	-359493.21
2025-01	2025-11	161451	-366329.5
2025-03	2025-08	206533	-367292.74
2025-02	2025-09	183884	-384724.61
2025-01	2025-04	182023	-386514.64
2025-02	2025-05	198484	-400073.15
2025-03	2025-07	210888	-414035.12
2025-01	2025-10	164100	-417893.99
2025-03	2025-06	215432	-420717.36
2025-02	2025-08	187329	-426122.32
2025-01	2025-09	166838	-441760.78
2025-01	2025-05	178769	-459663.29
2025-02	2025-07	190905	-469558.67
2025-02	2025-06	194621	-476676.02
2025-01	2025-08	169669	-480223.53
2025-01	2025-07	172597	-520428.11
2025-01	2025-06	175629	-527744.33
